mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
3.01,0.03,0.01,0.0,1,2,best,"{'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'best'}",-0.0,-0.0,-0.0,-0.0,-0.0,0.0,2
1.96,0.06,0.01,0.0,1,2,random,"{'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'random'}",-0.0,-0.0,-0.0,-0.0,0.0,0.0,1
2.77,0.04,0.01,0.0,1,4,best,"{'min_samples_leaf': 1, 'min_samples_split': 4, 'splitter': 'best'}",-0.45,-0.27,-0.31,-0.28,-0.33,0.07,3
1.71,0.07,0.01,0.0,1,4,random,"{'min_samples_leaf': 1, 'min_samples_split': 4, 'splitter': 'random'}",-0.51,-0.47,-0.36,-0.37,-0.43,0.06,6
2.7,0.02,0.01,0.0,1,6,best,"{'min_samples_leaf': 1, 'min_samples_split': 6, 'splitter': 'best'}",-0.88,-0.57,-0.53,-0.48,-0.61,0.16,8
1.53,0.02,0.01,0.01,1,6,random,"{'min_samples_leaf': 1, 'min_samples_split': 6, 'splitter': 'random'}",-0.98,-0.64,-0.57,-0.55,-0.69,0.17,14
2.63,0.03,0.01,0.0,1,8,best,"{'min_samples_leaf': 1, 'min_samples_split': 8, 'splitter': 'best'}",-0.88,-0.65,-0.65,-0.58,-0.69,0.11,15
1.57,0.04,0.01,0.0,1,8,random,"{'min_samples_leaf': 1, 'min_samples_split': 8, 'splitter': 'random'}",-0.98,-0.72,-0.79,-0.66,-0.78,0.12,24
2.77,0.02,0.01,0.0,2,2,best,"{'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'best'}",-0.47,-0.35,-0.39,-0.39,-0.4,0.04,4
1.58,0.04,0.01,0.0,2,2,random,"{'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'random'}",-0.56,-0.54,-0.63,-0.5,-0.56,0.05,7
