mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
1.21,0.04,0.01,0.0,1,2,best,"{'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'best'}",-0.0,-0.0,-0.0,-0.0,0.0,0.0,1
1.04,0.01,0.01,0.0,1,2,random,"{'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'random'}",-0.0,-0.0,-0.0,-0.0,0.0,0.0,1
1.14,0.03,0.01,0.0,1,4,best,"{'min_samples_leaf': 1, 'min_samples_split': 4, 'splitter': 'best'}",-0.25,-0.24,-0.32,-0.3,-0.28,0.03,3
0.97,0.02,0.01,0.0,1,4,random,"{'min_samples_leaf': 1, 'min_samples_split': 4, 'splitter': 'random'}",-0.46,-0.6,-0.62,-0.44,-0.53,0.08,7
1.1,0.01,0.01,0.0,1,6,best,"{'min_samples_leaf': 1, 'min_samples_split': 6, 'splitter': 'best'}",-0.55,-0.56,-0.54,-0.46,-0.53,0.04,6
0.95,0.02,0.01,0.0,1,6,random,"{'min_samples_leaf': 1, 'min_samples_split': 6, 'splitter': 'random'}",-0.9,-0.9,-0.91,-0.8,-0.88,0.04,14
1.1,0.02,0.01,0.0,1,8,best,"{'min_samples_leaf': 1, 'min_samples_split': 8, 'splitter': 'best'}",-0.7,-0.64,-1.22,-0.93,-0.87,0.23,13
0.93,0.02,0.01,0.0,1,8,random,"{'min_samples_leaf': 1, 'min_samples_split': 8, 'splitter': 'random'}",-0.95,-0.78,-0.76,-0.9,-0.85,0.08,12
1.14,0.02,0.01,0.0,2,2,best,"{'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'best'}",-0.45,-0.37,-0.46,-0.41,-0.42,0.04,5
0.95,0.02,0.01,0.0,2,2,random,"{'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'random'}",-1.58,-1.57,-1.28,-0.85,-1.32,0.29,26
1.14,0.03,0.01,0.0,2,4,best,"{'min_samples_leaf': 2, 'min_samples_split': 4, 'splitter': 'best'}",-0.45,-0.37,-0.46,-0.41,-0.42,0.04,4
0.94,0.02,0.01,0.0,2,4,random,"{'min_samples_leaf': 2, 'min_samples_split': 4, 'splitter': 'random'}",-1.24,-1.21,-1.09,-0.93,-1.12,0.12,22
1.12,0.01,0.01,0.0,2,6,best,"{'min_samples_leaf': 2, 'min_samples_split': 6, 'splitter': 'best'}",-0.58,-0.57,-0.57,-0.49,-0.55,0.04,8
0.95,0.0,0.01,0.0,2,6,random,"{'min_samples_leaf': 2, 'min_samples_split': 6, 'splitter': 'random'}",-1.51,-0.99,-1.17,-1.18,-1.21,0.19,23
1.1,0.02,0.01,0.0,2,8,best,"{'min_samples_leaf': 2, 'min_samples_split': 8, 'splitter': 'best'}",-0.72,-0.65,-1.24,-0.94,-0.89,0.23,15
0.94,0.01,0.01,0.0,2,8,random,"{'min_samples_leaf': 2, 'min_samples_split': 8, 'splitter': 'random'}",-0.67,-1.39,-1.03,-0.97,-1.02,0.25,21
1.11,0.03,0.01,0.0,3,2,best,"{'min_samples_leaf': 3, 'min_samples_split': 2, 'splitter': 'best'}",-0.76,-0.71,-0.78,-0.65,-0.72,0.05,9
0.92,0.02,0.01,0.0,3,2,random,"{'min_samples_leaf': 3, 'min_samples_split': 2, 'splitter': 'random'}",-1.72,-1.31,-1.42,-1.13,-1.39,0.21,27
1.13,0.01,0.01,0.0,3,4,best,"{'min_samples_leaf': 3, 'min_samples_split': 4, 'splitter': 'best'}",-0.76,-0.71,-0.78,-0.65,-0.72,0.05,9
0.93,0.01,0.01,0.0,3,4,random,"{'min_samples_leaf': 3, 'min_samples_split': 4, 'splitter': 'random'}",-0.89,-1.86,-1.37,-0.9,-1.25,0.4,24
1.14,0.0,0.01,0.0,3,6,best,"{'min_samples_leaf': 3, 'min_samples_split': 6, 'splitter': 'best'}",-0.76,-0.71,-0.78,-0.65,-0.72,0.05,9
0.94,0.01,0.01,0.0,3,6,random,"{'min_samples_leaf': 3, 'min_samples_split': 6, 'splitter': 'random'}",-1.09,-1.69,-1.32,-1.0,-1.27,0.27,25
1.13,0.01,0.01,0.0,3,8,best,"{'min_samples_leaf': 3, 'min_samples_split': 8, 'splitter': 'best'}",-0.74,-0.72,-1.17,-0.91,-0.89,0.18,16
0.93,0.0,0.01,0.0,3,8,random,"{'min_samples_leaf': 3, 'min_samples_split': 8, 'splitter': 'random'}",-2.04,-1.63,-1.27,-1.03,-1.49,0.38,30
1.12,0.0,0.01,0.0,4,2,best,"{'min_samples_leaf': 4, 'min_samples_split': 2, 'splitter': 'best'}",-0.8,-0.88,-1.24,-0.97,-0.97,0.17,17
0.93,0.01,0.01,0.0,4,2,random,"{'min_samples_leaf': 4, 'min_samples_split': 2, 'splitter': 'random'}",-0.92,-1.95,-1.51,-1.23,-1.4,0.38,28
1.13,0.0,0.01,0.0,4,4,best,"{'min_samples_leaf': 4, 'min_samples_split': 4, 'splitter': 'best'}",-0.8,-0.88,-1.24,-0.97,-0.97,0.17,17
0.93,0.01,0.01,0.0,4,4,random,"{'min_samples_leaf': 4, 'min_samples_split': 4, 'splitter': 'random'}",-1.25,-1.46,-1.49,-1.4,-1.4,0.09,29
1.12,0.01,0.01,0.0,4,6,best,"{'min_samples_leaf': 4, 'min_samples_split': 6, 'splitter': 'best'}",-0.8,-0.88,-1.24,-0.97,-0.97,0.17,17
0.93,0.0,0.01,0.0,4,6,random,"{'min_samples_leaf': 4, 'min_samples_split': 6, 'splitter': 'random'}",-1.86,-1.88,-1.54,-1.26,-1.63,0.26,31
1.11,0.01,0.0,0.0,4,8,best,"{'min_samples_leaf': 4, 'min_samples_split': 8, 'splitter': 'best'}",-0.8,-0.88,-1.24,-0.97,-0.97,0.17,20
0.91,0.0,0.0,0.0,4,8,random,"{'min_samples_leaf': 4, 'min_samples_split': 8, 'splitter': 'random'}",-2.87,-1.79,-1.44,-1.26,-1.84,0.62,32
