mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_min_samples_leaf;param_min_samples_split;param_n_estimators;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;mean_test_score;std_test_score;rank_test_score
1398.63;5.28;0.73;0.17;1;2;1000;{'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000};-0.44;-0.38;-0.34;-0.32;-0.37;0.04;1
172.19;0.36;0.04;0.02;1;2;100;{'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100};-0.42;-0.42;-0.35;-0.33;-0.38;0.04;2
257.59;0.3;0.06;0.02;1;2;150;{'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150};-0.44;-0.37;-0.36;-0.32;-0.38;0.04;3
710.54;4.35;0.25;0.08;1;2;500;{'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500};-0.46;-0.38;-0.35;-0.32;-0.38;0.05;4
1405.08;2.67;0.37;0.16;1;2;1500;{'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1500};-0.47;-0.37;-0.35;-0.32;-0.38;0.06;5
215.08;0.16;0.06;0.02;1;2;125;{'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 125};-0.49;-0.38;-0.36;-0.33;-0.39;0.06;6
86.34;0.28;0.03;0.01;1;2;50;{'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50};-0.51;-0.4;-0.36;-0.33;-0.4;0.07;7
158.8;0.47;0.04;0.02;1;4;100;{'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 100};-0.65;-0.47;-0.47;-0.42;-0.5;0.09;8
653.92;3.17;0.21;0.07;1;4;500;{'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 500};-0.66;-0.47;-0.46;-0.42;-0.5;0.09;9
1293.98;0.78;0.63;0.15;1;4;1000;{'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 1000};-0.67;-0.48;-0.46;-0.41;-0.5;0.1;10
237.69;0.33;0.06;0.02;1;4;150;{'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 150};-0.65;-0.47;-0.48;-0.42;-0.51;0.09;
1303.92;2.39;0.32;0.13;1;4;1500;{'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 1500};-0.68;-0.47;-0.46;-0.41;-0.51;0.1;
79.71;0.18;0.03;0.01;1;4;50;{'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 50};-0.72;-0.51;-0.44;-0.43;-0.52;0.12;
198.16;0.32;0.05;0.02;1;4;125;{'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 125};-0.72;-0.47;-0.45;-0.43;-0.52;0.12;
1270.01;3.74;0.69;0.2;2;2;1000;{'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1000};-0.72;-0.52;-0.51;-0.47;-0.55;0.1;
195.79;0.18;0.05;0.02;2;4;125;{'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 125};-0.72;-0.53;-0.53;-0.48;-0.56;0.09;
614.0;3.18;0.22;0.12;2;2;500;{'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500};-0.71;-0.53;-0.51;-0.47;-0.56;0.09;
611.7;3.92;0.2;0.08;2;4;500;{'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 500};-0.72;-0.53;-0.52;-0.47;-0.56;0.09;
1257.58;11.03;0.41;0.13;2;4;1000;{'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 1000};-0.71;-0.54;-0.51;-0.47;-0.56;0.09;
195.91;0.21;0.05;0.02;2;2;125;{'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 125};-0.74;-0.52;-0.5;-0.47;-0.56;0.1;
1283.71;3.58;0.31;0.13;2;2;1500;{'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1500};-0.73;-0.53;-0.51;-0.47;-0.56;0.1;
1283.75;0.93;0.31;0.13;2;4;1500;{'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 1500};-0.72;-0.52;-0.51;-0.47;-0.56;0.1;
234.59;0.14;0.06;0.02;2;2;150;{'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 150};-0.73;-0.54;-0.53;-0.47;-0.57;0.1;
156.63;0.28;0.04;0.01;2;4;100;{'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 100};-0.74;-0.53;-0.54;-0.46;-0.57;0.1;
234.85;0.24;0.06;0.02;2;4;150;{'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 150};-0.75;-0.54;-0.51;-0.47;-0.57;0.11;
78.34;0.14;0.03;0.01;2;2;50;{'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50};-0.71;-0.61;-0.54;-0.47;-0.58;0.09;
78.36;0.14;0.02;0.01;2;4;50;{'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 50};-0.76;-0.56;-0.53;-0.48;-0.58;0.1;
156.71;0.27;0.04;0.02;2;2;100;{'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100};-0.83;-0.53;-0.5;-0.47;-0.58;0.15;
76.78;0.05;0.03;0.01;1;6;50;{'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 50};-0.75;-0.59;-0.57;-0.51;-0.61;0.09;
191.75;0.05;0.05;0.02;1;6;125;{'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 125};-0.8;-0.57;-0.55;-0.52;-0.61;0.11;
229.71;0.24;0.05;0.02;1;6;150;{'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 150};-0.8;-0.57;-0.56;-0.51;-0.61;0.11;
1255.62;3.06;0.53;0.13;1;6;1000;{'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 1000};-0.8;-0.57;-0.56;-0.51;-0.61;0.11;
1258.04;2.0;0.29;0.12;1;6;1500;{'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 1500};-0.79;-0.58;-0.56;-0.51;-0.61;0.11;
633.88;1.21;0.2;0.06;1;6;500;{'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 500};-0.8;-0.59;-0.56;-0.51;-0.62;0.11;
153.41;0.22;0.04;0.01;1;6;100;{'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 100};-0.82;-0.57;-0.58;-0.5;-0.62;0.12;
228.48;0.13;0.05;0.02;2;6;150;{'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 150};-0.78;-0.62;-0.59;-0.54;-0.63;0.09;
1246.45;6.89;0.34;0.12;2;6;1000;{'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 1000};-0.81;-0.59;-0.58;-0.54;-0.63;0.11;
1247.36;0.97;0.28;0.11;2;6;1500;{'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 1500};-0.82;-0.6;-0.58;-0.54;-0.63;0.11;
190.6;0.13;0.05;0.02;2;6;125;{'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 125};-0.78;-0.61;-0.61;-0.54;-0.64;0.09;
