mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
1398.63,5.28,0.73,0.17,1,2,1000,"{'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000}",-0.44,-0.38,-0.34,-0.32,-0.37,0.04,1
1293.98,0.78,0.63,0.15,1,4,1000,"{'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 1000}",-0.67,-0.48,-0.46,-0.41,-0.5,0.1,2
1255.62,3.06,0.53,0.13,1,6,1000,"{'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 1000}",-0.8,-0.57,-0.56,-0.51,-0.61,0.11,5
1197.95,16.35,0.36,0.14,1,8,1000,"{'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 1000}",-0.85,-0.67,-0.64,-0.59,-0.69,0.1,10
1270.01,3.74,0.69,0.2,2,2,1000,"{'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1000}",-0.72,-0.52,-0.51,-0.47,-0.55,0.1,3
1257.58,11.03,0.41,0.13,2,4,1000,"{'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 1000}",-0.71,-0.54,-0.51,-0.47,-0.56,0.09,4
1246.45,6.89,0.34,0.12,2,6,1000,"{'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 1000}",-0.81,-0.59,-0.58,-0.54,-0.63,0.11,6
1217.51,4.95,0.3,0.1,2,8,1000,"{'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 1000}",-0.87,-0.68,-0.66,-0.6,-0.7,0.1,11
1227.3,9.29,0.35,0.12,3,2,1000,"{'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 1000}",-0.86,-0.64,-0.63,-0.58,-0.68,0.11,9
1208.32,6.27,0.33,0.1,3,4,1000,"{'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 1000}",-0.84,-0.65,-0.62,-0.59,-0.67,0.1,8
1212.32,1.62,0.34,0.12,3,6,1000,"{'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 1000}",-0.84,-0.64,-0.63,-0.59,-0.67,0.1,7
1202.51,6.99,0.31,0.11,3,8,1000,"{'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 1000}",-0.91,-0.69,-0.68,-0.64,-0.73,0.11,12
1173.08,6.3,0.31,0.1,4,2,1000,"{'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 1000}",-0.91,-0.75,-0.71,-0.68,-0.76,0.09,13
1175.86,3.55,0.29,0.1,4,4,1000,"{'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 1000}",-0.93,-0.75,-0.72,-0.68,-0.77,0.1,15
1179.99,7.03,0.29,0.1,4,6,1000,"{'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 1000}",-0.94,-0.75,-0.71,-0.68,-0.77,0.1,14
1178.94,1.92,0.28,0.09,4,8,1000,"{'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 1000}",-0.94,-0.75,-0.71,-0.68,-0.77,0.1,16
1165.06,3.69,0.28,0.09,5,2,1000,"{'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 1000}",-1.03,-0.84,-0.77,-0.75,-0.85,0.11,19
1166.55,2.77,0.27,0.09,5,4,1000,"{'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 1000}",-1.01,-0.84,-0.77,-0.75,-0.85,0.1,17
1151.16,1.59,0.25,0.08,5,6,1000,"{'min_samples_leaf': 5, 'min_samples_split': 6, 'n_estimators': 1000}",-1.02,-0.84,-0.78,-0.75,-0.85,0.1,20
1151.21,4.17,0.26,0.09,5,8,1000,"{'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 1000}",-1.01,-0.85,-0.77,-0.76,-0.85,0.1,18
