mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_min_samples_leaf;param_min_samples_split;param_n_estimators;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;mean_test_score;std_test_score;rank_test_score
93.26;0.43;0.07;0.03;1;2;125;{'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 125};-0.3;-0.36;-0.41;-0.37;-0.36;0.04;1
580.96;32.83;0.48;0.27;1;2;1000;{'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000};-0.3;-0.34;-0.44;-0.37;-0.36;0.05;1
110.98;1.06;0.08;0.04;1;2;150;{'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150};-0.31;-0.32;-0.45;-0.4;-0.37;0.06;2
933.64;2.11;0.98;0.48;1;2;1500;{'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1500};-0.33;-0.34;-0.43;-0.37;-0.37;0.04;1
346.73;1.15;0.32;0.15;1;2;500;{'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500};-0.33;-0.35;-0.45;-0.37;-0.38;0.05;1
74.53;0.54;0.06;0.03;1;2;100;{'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100};-0.33;-0.37;-0.47;-0.38;-0.39;0.05;3
37.36;0.15;0.03;0.02;1;2;50;{'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50};-0.24;-0.35;-0.59;-0.42;-0.4;0.13;4
105.86;1.03;0.08;0.04;1;4;150;{'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 150};-0.39;-0.53;-0.61;-0.54;-0.52;0.08;5
330.59;1.76;0.27;0.14;1;4;500;{'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 500};-0.4;-0.51;-0.64;-0.52;-0.52;0.08;2
602.98;15.25;0.44;0.25;1;4;1000;{'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 1000};-0.41;-0.51;-0.65;-0.52;-0.52;0.09;2
876.9;2.14;0.87;0.42;1;4;1500;{'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 1500};-0.42;-0.52;-0.63;-0.52;-0.52;0.07;2
35.38;0.49;0.03;0.01;1;4;50;{'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 50};-0.45;-0.53;-0.64;-0.51;-0.53;0.07;7
88.67;0.65;0.06;0.03;1;4;125;{'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 125};-0.44;-0.5;-0.64;-0.52;-0.53;0.07;6
70.97;0.82;0.05;0.02;1;4;100;{'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 100};-0.46;-0.53;-0.64;-0.55;-0.54;0.07;8
86.02;0.78;0.06;0.03;2;4;125;{'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 125};-0.45;-0.59;-0.72;-0.61;-0.59;0.09;9
34.65;0.43;0.03;0.01;2;4;50;{'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 50};-0.5;-0.58;-0.72;-0.59;-0.6;0.08;10
103.65;1.08;0.08;0.04;2;4;150;{'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 150};-0.52;-0.59;-0.7;-0.6;-0.6;0.06;11
497.21;0.39;0.45;0.25;2;2;1000;{'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1000};-0.51;-0.59;-0.71;-0.6;-0.6;0.07;3
797.29;1.23;0.73;0.38;2;2;1500;{'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1500};-0.49;-0.61;-0.72;-0.6;-0.6;0.08;3
103.78;1.01;0.07;0.03;2;2;150;{'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 150};-0.49;-0.6;-0.75;-0.61;-0.61;0.09;12
