mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
933.64,2.11,0.98,0.48,1,2,1500,"{'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1500}",-0.33,-0.34,-0.43,-0.37,-0.37,0.04,1
876.9,2.14,0.87,0.42,1,4,1500,"{'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 1500}",-0.42,-0.52,-0.63,-0.52,-0.52,0.07,2
838.71,5.44,0.79,0.38,1,6,1500,"{'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 1500}",-0.6,-0.73,-0.9,-0.73,-0.74,0.11,5
813.92,1.7,0.74,0.35,1,8,1500,"{'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 1500}",-0.88,-0.96,-1.07,-0.86,-0.94,0.08,11
797.29,1.23,0.73,0.38,2,2,1500,"{'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1500}",-0.49,-0.61,-0.72,-0.6,-0.6,0.08,3
797.23,0.95,0.73,0.37,2,4,1500,"{'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 1500}",-0.51,-0.6,-0.72,-0.61,-0.61,0.07,4
770.45,3.25,0.68,0.36,2,6,1500,"{'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 1500}",-0.63,-0.76,-0.89,-0.73,-0.75,0.09,6
766.7,1.32,0.66,0.35,2,8,1500,"{'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 1500}",-0.9,-0.96,-1.06,-0.86,-0.94,0.07,10
781.17,2.82,0.68,0.36,3,2,1500,"{'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 1500}",-0.76,-0.86,-0.95,-0.79,-0.84,0.07,8
784.38,1.96,0.68,0.36,3,4,1500,"{'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 1500}",-0.75,-0.86,-0.95,-0.78,-0.84,0.08,7
757.1,1.6,0.67,0.36,3,6,1500,"{'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 1500}",-0.77,-0.87,-0.95,-0.79,-0.85,0.07,9
752.31,1.33,0.65,0.35,3,8,1500,"{'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 1500}",-0.94,-1.0,-1.06,-0.88,-0.97,0.07,12
746.33,2.27,0.67,0.37,4,2,1500,"{'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 1500}",-1.04,-1.08,-1.1,-0.91,-1.04,0.07,13
747.49,1.29,0.7,0.34,4,4,1500,"{'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 1500}",-1.04,-1.09,-1.1,-0.92,-1.04,0.07,14
768.62,4.27,0.63,0.33,4,6,1500,"{'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 1500}",-1.05,-1.08,-1.1,-0.93,-1.04,0.07,15
768.36,0.47,0.64,0.34,4,8,1500,"{'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 1500}",-1.06,-1.09,-1.12,-0.92,-1.05,0.07,16
738.73,2.81,0.67,0.36,5,2,1500,"{'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 1500}",-1.31,-1.26,-1.23,-1.02,-1.21,0.11,19
741.66,1.33,0.67,0.33,5,4,1500,"{'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 1500}",-1.29,-1.28,-1.23,-1.02,-1.2,0.11,18
745.86,2.64,0.63,0.34,5,6,1500,"{'min_samples_leaf': 5, 'min_samples_split': 6, 'n_estimators': 1500}",-1.32,-1.27,-1.23,-1.02,-1.21,0.11,20
747.81,1.07,0.62,0.33,5,8,1500,"{'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 1500}",-1.3,-1.27,-1.23,-1.02,-1.2,0.11,17
