mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_booster;param_learning_rate;param_n_estimators;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;mean_test_score;std_test_score;rank_test_score
1588.38;0.0;0.02;0.0;gbtree;1;15000;{'booster': 'gbtree', 'learning_rate': 1, 'n_estimators': 15000};-0.01;;;;-0.01;0.0;
1100.26;0.0;0.02;0.0;gbtree;1;5000;{'booster': 'gbtree', 'learning_rate': 1, 'n_estimators': 5000};-0.01;;;;-0.01;0.0;
1409.02;0.0;0.02;0.0;gbtree;1;10000;{'booster': 'gbtree', 'learning_rate': 1, 'n_estimators': 10000};-0.01;;;;-0.01;0.0;
655.94;0.0;0.02;0.0;gbtree;1;3000;{'booster': 'gbtree', 'learning_rate': 1, 'n_estimators': 3000};-0.04;;;;-0.04;0.0;
542.16;0.0;0.02;0.0;gbtree;1;2500;{'booster': 'gbtree', 'learning_rate': 1, 'n_estimators': 2500};-0.05;;;;-0.05;0.0;
435.85;0.0;0.02;0.0;gbtree;1;2000;{'booster': 'gbtree', 'learning_rate': 1, 'n_estimators': 2000};-0.08;;;;-0.08;0.0;
321.92;0.0;0.02;0.0;gbtree;1;1500;{'booster': 'gbtree', 'learning_rate': 1, 'n_estimators': 1500};-0.12;;;;-0.12;0.0;
189.54;3.31;0.02;0.02;gbtree;1;1000;{'booster': 'gbtree', 'learning_rate': 1, 'n_estimators': 1000};-0.18;-0.17;-0.15;-0.16;-0.16;0.01;1
10650.81;99.83;4.2;2.93;dart;1;1000;{'booster': 'dart', 'learning_rate': 1, 'n_estimators': 1000};-0.18;-0.17;-0.15;-0.16;-0.16;0.01;1
186.28;2.12;0.03;0.02;gbtree;0.5;1000;{'booster': 'gbtree', 'learning_rate': 0.5, 'n_estimators': 1000};-0.21;-0.22;-0.21;-0.2;-0.21;0.01;2
92.15;0.51;0.02;0.01;gbtree;1;500;{'booster': 'gbtree', 'learning_rate': 1, 'n_estimators': 500};-0.32;-0.35;-0.32;-0.33;-0.33;0.01;2
2185.54;6.64;2.14;1.75;dart;1;500;{'booster': 'dart', 'learning_rate': 1, 'n_estimators': 500};-0.32;-0.35;-0.32;-0.33;-0.33;0.01;1
91.58;0.38;0.02;0.0;gbtree;0.5;500;{'booster': 'gbtree', 'learning_rate': 0.5, 'n_estimators': 500};-0.36;-0.41;-0.39;-0.38;-0.38;0.02;4
2176.28;2.53;2.1;1.75;dart;0.5;500;{'booster': 'dart', 'learning_rate': 0.5, 'n_estimators': 500};-0.36;-0.41;-0.39;-0.38;-0.38;0.02;3
