mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_booster,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
91.82,0.11,0.01,0.01,gbtree,0.01,500,"{'booster': 'gbtree', 'learning_rate': 0.01, 'n_estimators': 500}",-4.58,-4.67,-4.68,-4.73,-4.67,0.06,7
91.34,0.55,0.02,0.01,gbtree,0.2,500,"{'booster': 'gbtree', 'learning_rate': 0.2, 'n_estimators': 500}",-0.74,-0.68,-0.66,-0.66,-0.68,0.03,6
91.58,0.38,0.02,0.0,gbtree,0.5,500,"{'booster': 'gbtree', 'learning_rate': 0.5, 'n_estimators': 500}",-0.36,-0.41,-0.39,-0.38,-0.38,0.02,4
92.15,0.51,0.02,0.01,gbtree,1,500,"{'booster': 'gbtree', 'learning_rate': 1, 'n_estimators': 500}",-0.32,-0.35,-0.32,-0.33,-0.33,0.01,2
21.98,0.19,0.05,0.01,gblinear,0.01,500,"{'booster': 'gblinear', 'learning_rate': 0.01, 'n_estimators': 500}",-18.16,-18.56,-18.77,-18.73,-18.55,0.24,12
21.94,0.1,0.05,0.01,gblinear,0.2,500,"{'booster': 'gblinear', 'learning_rate': 0.2, 'n_estimators': 500}",-18.14,-18.55,-18.75,-18.71,-18.54,0.24,11
22.04,0.2,0.05,0.01,gblinear,0.5,500,"{'booster': 'gblinear', 'learning_rate': 0.5, 'n_estimators': 500}",-18.13,-18.54,-18.74,-18.71,-18.53,0.24,10
21.97,0.19,0.04,0.01,gblinear,1,500,"{'booster': 'gblinear', 'learning_rate': 1, 'n_estimators': 500}",-18.13,-18.54,-18.74,-18.7,-18.53,0.24,9
2182.85,2.77,2.22,1.72,dart,0.01,500,"{'booster': 'dart', 'learning_rate': 0.01, 'n_estimators': 500}",-4.58,-4.67,-4.68,-4.73,-4.67,0.06,8
2185.2,6.88,2.12,1.75,dart,0.2,500,"{'booster': 'dart', 'learning_rate': 0.2, 'n_estimators': 500}",-0.74,-0.68,-0.66,-0.66,-0.68,0.03,5
2176.28,2.53,2.1,1.75,dart,0.5,500,"{'booster': 'dart', 'learning_rate': 0.5, 'n_estimators': 500}",-0.36,-0.41,-0.39,-0.38,-0.38,0.02,3
2185.54,6.64,2.14,1.75,dart,1,500,"{'booster': 'dart', 'learning_rate': 1, 'n_estimators': 500}",-0.32,-0.35,-0.32,-0.33,-0.33,0.01,1
