mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_booster,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
127.27,0.34,0.1,0.02,gbtree,0.01,50,"{'booster': 'gbtree', 'learning_rate': 0.01, 'n_estimators': 50}",-32.87,-32.51,-33.12,-33.25,-32.94,0.28,47
262.57,3.57,0.12,0.02,gbtree,0.01,100,"{'booster': 'gbtree', 'learning_rate': 0.01, 'n_estimators': 100}",-23.94,-24.03,-24.39,-24.54,-24.22,0.25,43
327.07,2.98,0.13,0.04,gbtree,0.01,125,"{'booster': 'gbtree', 'learning_rate': 0.01, 'n_estimators': 125}",-21.48,-21.69,-21.97,-22.12,-21.82,0.25,39
397.82,3.25,0.12,0.01,gbtree,0.01,150,"{'booster': 'gbtree', 'learning_rate': 0.01, 'n_estimators': 150}",-19.81,-20.1,-20.33,-20.46,-20.18,0.25,37
130.5,2.41,0.13,0.03,gbtree,0.2,50,"{'booster': 'gbtree', 'learning_rate': 0.2, 'n_estimators': 50}",-8.42,-8.7,-8.78,-8.88,-8.69,0.17,23
261.65,1.88,0.13,0.04,gbtree,0.2,100,"{'booster': 'gbtree', 'learning_rate': 0.2, 'n_estimators': 100}",-4.73,-4.88,-4.92,-5.01,-4.89,0.1,21
333.29,0.85,0.12,0.03,gbtree,0.2,125,"{'booster': 'gbtree', 'learning_rate': 0.2, 'n_estimators': 125}",-3.81,-3.85,-3.82,-3.86,-3.83,0.02,18
398.81,2.63,0.15,0.04,gbtree,0.2,150,"{'booster': 'gbtree', 'learning_rate': 0.2, 'n_estimators': 150}",-3.23,-3.28,-3.21,-3.21,-3.23,0.03,15
132.54,1.73,0.12,0.02,gbtree,0.5,50,"{'booster': 'gbtree', 'learning_rate': 0.5, 'n_estimators': 50}",-3.84,-3.83,-3.84,-3.9,-3.85,0.03,20
267.21,1.36,0.11,0.02,gbtree,0.5,100,"{'booster': 'gbtree', 'learning_rate': 0.5, 'n_estimators': 100}",-2.18,-1.99,-1.79,-1.66,-1.9,0.2,13
