mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_booster,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
162.28,0.39,0.04,0.02,gbtree,0.01,500,"{'booster': 'gbtree', 'learning_rate': 0.01, 'n_estimators': 500}",-11.7,-12.01,-12.13,-12.25,-12.02,0.2,7
162.82,0.55,0.03,0.02,gbtree,0.2,500,"{'booster': 'gbtree', 'learning_rate': 0.2, 'n_estimators': 500}",-1.54,-1.39,-1.19,-1.02,-1.29,0.2,5
163.55,0.33,0.02,0.01,gbtree,0.5,500,"{'booster': 'gbtree', 'learning_rate': 0.5, 'n_estimators': 500}",-0.72,-0.65,-0.57,-0.53,-0.62,0.07,3
163.73,0.27,0.02,0.01,gbtree,1,500,"{'booster': 'gbtree', 'learning_rate': 1, 'n_estimators': 500}",-0.52,-0.48,-0.43,-0.43,-0.47,0.04,1
29.07,0.06,0.05,0.01,gblinear,0.01,500,"{'booster': 'gblinear', 'learning_rate': 0.01, 'n_estimators': 500}",-18.42,-18.64,-19.11,-18.99,-18.79,0.28,12
30.03,0.09,0.05,0.01,gblinear,0.2,500,"{'booster': 'gblinear', 'learning_rate': 0.2, 'n_estimators': 500}",-18.16,-18.56,-18.77,-18.73,-18.55,0.24,9
28.97,0.08,0.05,0.01,gblinear,0.5,500,"{'booster': 'gblinear', 'learning_rate': 0.5, 'n_estimators': 500}",-18.16,-18.56,-18.77,-18.73,-18.55,0.24,10
29.05,0.15,0.05,0.02,gblinear,1,500,"{'booster': 'gblinear', 'learning_rate': 1, 'n_estimators': 500}",-18.16,-18.56,-18.77,-18.73,-18.55,0.24,11
3980.58,1.51,5.23,2.06,dart,0.01,500,"{'booster': 'dart', 'learning_rate': 0.01, 'n_estimators': 500}",-11.7,-12.01,-12.13,-12.25,-12.02,0.2,8
3952.07,3.56,8.38,1.89,dart,0.2,500,"{'booster': 'dart', 'learning_rate': 0.2, 'n_estimators': 500}",-1.54,-1.39,-1.19,-1.02,-1.29,0.2,6
3941.08,1.59,8.55,2.22,dart,0.5,500,"{'booster': 'dart', 'learning_rate': 0.5, 'n_estimators': 500}",-0.72,-0.65,-0.57,-0.53,-0.62,0.07,4
3981.4,3.09,4.67,1.49,dart,1,500,"{'booster': 'dart', 'learning_rate': 1, 'n_estimators': 500}",-0.52,-0.48,-0.43,-0.43,-0.47,0.04,2
